IMG 000: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5630: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5631: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5632: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5633: This is number 5 | confidence 94% | expected 5 | CORRECT
IMG 5634: This is number 2 | confidence 76% | expected 2 | CORRECT
IMG 5635: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5636: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5637: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5638: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 5639: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5640: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 5641: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5642: This is number 1 | confidence 60% | expected 1 | CORRECT
IMG 5643: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5644: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5645: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5646: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5647: This is number 8 | confidence 78% | expected 8 | CORRECT
IMG 5648: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5649: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 5650: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 5651: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5652: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5653: This is number 0 | confidence 89% | expected 0 | CORRECT
IMG 5654: This is number 7 | confidence 85% | expected 7 | CORRECT
IMG 5655: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 5656: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5657: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5658: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5659: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5660: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5661: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5662: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 5663: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 5664: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5665: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5666: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5667: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5668: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5669: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5670: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5671: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 5672: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 5673: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5674: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 5675: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5676: This is number 4 | confidence 79% | expected 4 | CORRECT
IMG 5677: NOT A NUMBER | confidence 34% | expected 4 | TRASH
IMG 5678: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 5679: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5680: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5681: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5682: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 5683: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5684: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5685: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 5686: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5687: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5688: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 5689: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5690: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5691: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 5692: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5693: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5694: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5695: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5696: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5697: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5698: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 5699: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5700: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5701: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5702: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5703: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5704: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5705: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5706: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5707: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5708: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5709: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 5710: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5711: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5712: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5713: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5714: This is number 7 | confidence 78% | expected 7 | CORRECT
IMG 5715: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5716: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5717: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5718: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 5719: This is number 9 | confidence 56% | expected 9 | CORRECT
IMG 5720: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5721: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5722: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5723: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5724: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 5725: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 5726: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5727: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 5728: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 5729: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5730: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5731: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5732: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5733: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5734: NOT A NUMBER | confidence 19% | expected 3 | TRASH
IMG 5735: This is number 5 | confidence 85% | expected 5 | CORRECT
IMG 5736: This is number 6 | confidence 85% | expected 6 | CORRECT
IMG 5737: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5738: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5739: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5740: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 5741: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 5742: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5743: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 5744: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 5745: This is number 7 | confidence 71% | expected 7 | CORRECT
IMG 5746: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 5747: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5748: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5749: This is number 2 | confidence 77% | expected 8 | INCORRECT
IMG 5750: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5751: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5752: This is number 5 | confidence 87% | expected 5 | CORRECT
IMG 5753: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 5754: This is number 9 | confidence 84% | expected 9 | CORRECT
IMG 5755: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5756: This is number 0 | confidence 86% | expected 0 | CORRECT
IMG 5757: This is number 9 | confidence 88% | expected 9 | CORRECT
IMG 5758: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5759: This is number 1 | confidence 89% | expected 1 | CORRECT
IMG 5760: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5761: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5762: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5763: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5764: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5765: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5766: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5767: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5768: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 5769: NOT A NUMBER | confidence 29% | expected 5 | TRASH
IMG 5770: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 5771: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5772: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5773: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 5774: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5775: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5776: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5777: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5778: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5779: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5780: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5781: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5782: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 5783: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5784: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 5785: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5786: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5787: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 5788: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5789: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5790: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5791: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 5792: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 5793: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5794: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5795: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5796: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5797: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5798: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5799: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5800: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5801: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 5802: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5803: This is number 8 | confidence 89% | expected 8 | CORRECT
IMG 5804: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5805: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 5806: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5807: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5808: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5809: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5810: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5811: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5812: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5813: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5814: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 5815: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 5816: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 5817: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5818: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5819: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5820: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5821: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 5822: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5823: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5824: This is number 3 | confidence 86% | expected 3 | CORRECT
IMG 5825: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 5826: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 5827: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5828: This is number 0 | confidence 88% | expected 0 | CORRECT
IMG 5829: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5830: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 5831: This is number 1 | confidence 91% | expected 1 | CORRECT
IMG 5832: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 5833: This is number 5 | confidence 90% | expected 5 | CORRECT
IMG 5834: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5835: This is number 7 | confidence 68% | expected 7 | CORRECT
IMG 5836: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5837: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5838: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5839: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5840: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5841: This is number 3 | confidence 71% | expected 3 | CORRECT
IMG 5842: This is number 4 | confidence 83% | expected 4 | CORRECT
IMG 5843: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5844: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5845: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 5846: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5847: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5848: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5849: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5850: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5851: This is number 4 | confidence 90% | expected 4 | CORRECT
IMG 5852: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5853: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5854: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 5855: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5856: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 5857: This is number 8 | confidence 91% | expected 8 | CORRECT
IMG 5858: This is number 7 | confidence 61% | expected 7 | CORRECT
IMG 5859: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5860: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5861: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 5862: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 5863: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5864: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5865: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5866: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 5867: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5868: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5869: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5870: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 5871: This is number 9 | confidence 88% | expected 9 | CORRECT
IMG 5872: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5873: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5874: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5875: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5876: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5877: This is number 6 | confidence 90% | expected 6 | CORRECT
IMG 5878: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5879: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5880: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5881: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5882: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5883: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5884: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5885: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5886: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5887: This is number 7 | confidence 68% | expected 7 | CORRECT
IMG 5888: This is number 2 | confidence 55% | expected 4 | INCORRECT
IMG 5889: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5890: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 5891: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 5892: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5893: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5894: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 5895: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5896: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5897: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5898: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5899: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 5900: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 5901: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5902: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5903: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 5904: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 5905: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5906: This is number 7 | confidence 86% | expected 7 | CORRECT
IMG 5907: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5908: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 5909: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5910: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 5911: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5912: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 5913: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 5914: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 5915: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5916: This is number 6 | confidence 90% | expected 6 | CORRECT
IMG 5917: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5918: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5919: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 5920: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5921: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5922: This is number 5 | confidence 79% | expected 5 | CORRECT
IMG 5923: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 5924: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5925: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 5926: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5927: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 5928: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5929: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5930: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5931: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5932: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5933: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5934: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 5935: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 5936: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 5937: This is number 5 | confidence 75% | expected 5 | CORRECT
IMG 5938: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5939: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 5940: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5941: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 5942: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5943: This is number 1 | confidence 90% | expected 1 | CORRECT
IMG 5944: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 5945: This is number 3 | confidence 89% | expected 3 | CORRECT
IMG 5946: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5947: This is number 5 | confidence 81% | expected 5 | CORRECT
IMG 5948: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5949: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 5950: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 5951: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5952: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 5953: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 5954: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 5955: This is number 8 | confidence 90% | expected 3 | INCORRECT
IMG 5956: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 5957: This is number 5 | confidence 89% | expected 5 | CORRECT
IMG 5958: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5959: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 5960: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5961: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 5962: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5963: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 5964: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 5965: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5966: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5967: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 5968: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 5969: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 5970: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 5971: This is number 9 | confidence 88% | expected 9 | CORRECT
IMG 5972: This is number 5 | confidence 73% | expected 5 | CORRECT
IMG 5973: This is number 8 | confidence 59% | expected 3 | INCORRECT
IMG 5974: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5975: This is number 4 | confidence 89% | expected 4 | CORRECT
IMG 5976: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 5977: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5978: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 5979: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 5980: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5981: NOT A NUMBER | confidence 12% | expected 5 | TRASH
IMG 5982: This is number 5 | confidence 79% | expected 5 | CORRECT
IMG 5983: This is number 2 | confidence 87% | expected 2 | CORRECT
IMG 5984: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 5985: This is number 8 | confidence 77% | expected 5 | INCORRECT
IMG 5986: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 5987: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5988: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 5989: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 5990: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5991: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5992: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 5993: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 5994: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 5995: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 5996: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 5997: NOT A NUMBER | confidence 49% | expected 5 | TRASH
IMG 5998: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 5999: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 6000: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 6001: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 6002: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 6003: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 6004: This is number 8 | confidence 90% | expected 8 | CORRECT
IMG 6005: This is number 1 | confidence 91% | expected 1 | CORRECT
IMG 6006: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 6007: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 6008: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 6009: This is number 3 | confidence 50% | expected 3 | CORRECT
IMG 6010: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 6011: This is number 3 | confidence 87% | expected 3 | CORRECT
IMG 6012: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 6013: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 6014: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 6015: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 6016: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 6017: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 6018: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 6019: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 6020: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 6021: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 6022: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 6023: This is number 8 | confidence 65% | expected 3 | INCORRECT
IMG 6024: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 6025: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 6026: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 6027: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 6028: This is number 5 | confidence 87% | expected 5 | CORRECT
IMG 6029: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 6030: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 6031: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 6032: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 6033: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 6034: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 6035: This is number 0 | confidence 88% | expected 2 | INCORRECT
IMG 6036: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 6037: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 6038: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 6039: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 6040: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 6041: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 6042: This is number 5 | confidence 79% | expected 5 | CORRECT
IMG 6043: NOT A NUMBER | confidence 41% | expected 5 | TRASH
IMG 6044: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 6045: This is number 3 | confidence 70% | expected 3 | CORRECT
IMG 6046: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 6047: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 6048: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 6049: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 6050: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 6051: This is number 2 | confidence 93% | expected 2 | CORRECT
